"Area","Kind","Condition"
4962.75675675676,"10ng_EGF+6","10ng_EGF"
1471.08653846154,"10ng_EGF+6","10ng_EGF"
1183.47826086957,"10ng_EGF+6","10ng_EGF"
11594.9459459459,"10ng_EGF+0.2","10ng_EGF"
6077.0412371134,"10ng_EGF+0.2","10ng_EGF"
4065.61538461538,"10ng_EGF+0.2","10ng_EGF"
4881.81081081081,"10ng_EGF+0.2","10ng_EGF"
4016.98198198198,"10ng_EGF+0.2","10ng_EGF"
7841.89189189189,"10ng_EGF+0.2","10ng_EGF"
4061.76576576577,"10ng_EGF+0.2","10ng_EGF"
13286.7477477477,"10ng_EGF+0.2","10ng_EGF"
5359.24324324324,"10ng_EGF+0.2","10ng_EGF"
12552.0630630631,"10ng_EGF+0.2","10ng_EGF"
4679.73170731707,"10ng_EGF+0.2","10ng_EGF"
5545.55855855856,"10ng_EGF+0.2","10ng_EGF"
18185.8913043478,"10ng_EGF+0.2","10ng_EGF"
8873.87387387387,"10ng_EGF+0.2","10ng_EGF"
9517.96396396396,"10ng_EGF+0.2","10ng_EGF"
33095.4504504505,"10ng_EGF+0.2","10ng_EGF"
9107.63963963964,"10ng_EGF+0.2","10ng_EGF"
8346.32432432433,"10ng_EGF+0.2","10ng_EGF"
6330.16216216216,"10ng_EGF+0.2","10ng_EGF"
4119.57627118644,"10ng_EGF+0.2","10ng_EGF"
13840.7027027027,"10ng_EGF+0.2","10ng_EGF"
12535.3513513514,"10ng_EGF+0.2","10ng_EGF"
11386.9009009009,"10ng_EGF+0.2","10ng_EGF"
4444.09009009009,"10ng_EGF+0.2","10ng_EGF"
6724.77477477477,"10ng_EGF+0.2","10ng_EGF"
11849.3513513514,"10ng_EGF+0.2","10ng_EGF"
8033.76404494382,"10ng_EGF+0.2","10ng_EGF"
29220.4594594595,"10ng_EGF+0.2","10ng_EGF"
8688.27027027027,"10ng_EGF+0.2","10ng_EGF"
5597.98198198198,"10ng_EGF+0.2","10ng_EGF"
8742.17117117117,"10ng_EGF+0.2","10ng_EGF"
8095.28828828829,"10ng_EGF+0.2","10ng_EGF"
13987.5405405405,"10ng_EGF+0.2","10ng_EGF"
9601.03603603604,"10ng_EGF+0.2","10ng_EGF"
19864.8108108108,"10ng_EGF+0.2","10ng_EGF"
18037.4414414414,"10ng_EGF+0.2","10ng_EGF"
10129.6036036036,"10ng_EGF+0.2","10ng_EGF"
8966.27927927928,"10ng_EGF+0.2","10ng_EGF"
16550.737704918,"10ng_EGF+0.2","10ng_EGF"
6955.14754098361,"10ng_EGF+0.2","10ng_EGF"
3546.86486486487,"Control+0.2","Control"
11378.5765765766,"Control+0.2","Control"
4869.75675675676,"Control+0.2","Control"
23777.5405405405,"Control+0.2","Control"
4760.9375,"Control+0.2","Control"
3414.42857142857,"Control+0.2","Control"
10552.4414414414,"10ng_EGF+0.2","10ng_EGF"
1996.95454545455,"10ng_EGF+0.2","10ng_EGF"
3897.04054054054,"10ng_EGF+6","10ng_EGF"
6937.01176470588,"10ng_EGF+6","10ng_EGF"
10779.1931818182,"10ng_EGF+6","10ng_EGF"
23314.8333333333,"10ng_EGF+6","10ng_EGF"
3640.41666666667,"10ng_EGF+6","10ng_EGF"
5222.42342342342,"10ng_EGF+6","10ng_EGF"
6811.63963963964,"10ng_EGF+6","10ng_EGF"
5382.62162162162,"10ng_EGF+6","10ng_EGF"
4063.64285714286,"10ng_EGF+24","10ng_EGF"
3143.44827586207,"10ng_EGF+24","10ng_EGF"
6066.73873873874,"10ng_EGF+24","10ng_EGF"
12940.954954955,"10ng_EGF+24","10ng_EGF"
6060.3963963964,"10ng_EGF+24","10ng_EGF"
